Classifier,Neighbors,Metric,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,5,manhattan,15000,24.82,94.69,"[[5486, 4, 2, 15, 3, 2, 26, 2, 20, 0], [0, 6272, 148, 40, 48, 3, 33, 60, 5, 46], [15, 13, 5680, 74, 2, 1, 8, 79, 12, 4], [3, 3, 20, 5644, 3, 37, 1, 66, 19, 23], [12, 15, 6, 0, 5360, 0, 115, 18, 4, 192], [7, 8, 5, 437, 10, 4916, 45, 19, 47, 45], [37, 19, 1, 0, 3, 41, 5728, 0, 29, 0], [0, 25, 55, 61, 56, 2, 0, 5839, 6, 53], [47, 43, 32, 69, 40, 28, 56, 31, 5185, 164], [19, 15, 20, 75, 111, 5, 11, 109, 25, 5423]]"
KNN,7,manhattan,10000,16.65,94.49,"[[5481, 3, 2, 17, 2, 2, 33, 3, 17, 0], [0, 6265, 146, 46, 52, 3, 34, 55, 6, 48], [14, 11, 5674, 79, 3, 1, 7, 84, 13, 2], [3, 2, 23, 5637, 2, 36, 2, 66, 24, 24], [11, 16, 8, 0, 5361, 0, 121, 14, 4, 187], [8, 8, 7, 528, 7, 4838, 47, 14, 44, 38], [30, 26, 1, 0, 3, 38, 5726, 0, 34, 0], [0, 25, 45, 68, 57, 2, 0, 5841, 6, 53], [44, 44, 34, 63, 36, 30, 60, 33, 5176, 175], [25, 16, 10, 82, 109, 5, 9, 119, 25, 5413]]"
KNN,7,manhattan,15000,24.79,94.47,"[[5475, 4, 2, 18, 3, 2, 35, 3, 18, 0], [0, 6259, 162, 37, 48, 5, 36, 56, 6, 46], [12, 11, 5669, 79, 3, 1, 11, 86, 13, 3], [3, 4, 20, 5631, 3, 36, 1, 73, 26, 22], [10, 12, 6, 0, 5356, 0, 118, 16, 5, 199], [8, 8, 5, 474, 9, 4878, 49, 16, 47, 45], [34, 23, 1, 0, 3, 39, 5721, 0, 37, 0], [0, 23, 50, 61, 58, 2, 0, 5837, 9, 57], [50, 41, 31, 70, 43, 28, 60, 31, 5157, 184], [17, 13, 10, 87, 107, 5, 13, 118, 24, 5419]]"
KNN,9,manhattan,15000,24.77,94.38,"[[5477, 2, 2, 19, 2, 2, 37, 3, 16, 0], [0, 6247, 155, 41, 49, 4, 45, 58, 10, 46], [13, 11, 5674, 78, 3, 1, 10, 87, 9, 2], [3, 2, 23, 5634, 1, 32, 2, 75, 23, 24], [13, 15, 6, 0, 5357, 0, 118, 17, 4, 192], [7, 9, 6, 509, 9, 4841, 51, 19, 48, 40], [34, 24, 1, 0, 3, 36, 5724, 0, 36, 0], [0, 27, 49, 66, 66, 2, 0, 5822, 10, 55], [51, 46, 32, 61, 39, 24, 61, 37, 5169, 175], [19, 13, 11, 87, 111, 4, 11, 126, 24, 5407]]"
KNN,9,manhattan,10000,16.91,94.36,"[[5480, 3, 2, 19, 2, 2, 33, 3, 16, 0], [0, 6250, 152, 47, 54, 4, 39, 56, 5, 48], [15, 11, 5666, 79, 3, 1, 12, 87, 11, 3], [4, 2, 22, 5635, 1, 35, 1, 73, 24, 22], [14, 16, 7, 0, 5351, 0, 123, 16, 3, 192], [6, 8, 4, 552, 8, 4811, 47, 17, 48, 38], [29, 27, 1, 0, 3, 35, 5732, 0, 31, 0], [0, 26, 44, 71, 63, 2, 0, 5834, 6, 51], [46, 43, 36, 64, 35, 26, 59, 34, 5172, 180], [26, 18, 9, 86, 110, 5, 10, 115, 27, 5407]]"
KNN,1,euclidean,10000,3.68,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,1,minkowski,10000,1.65,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,1,minkowski,15000,2.51,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,1,minkowski,20000,3.32,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,3,minkowski,20000,3.25,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,1,euclidean,20000,5.46,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,1,euclidean,15000,4.46,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
