Classifier,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,11000,1.8874,93.4437,"[[5465, 2, 2, 20, 4, 2, 32, 3, 30, 0], [1, 6057, 186, 121, 58, 7, 47, 70, 42, 66], [16, 10, 5594, 169, 2, 1, 16, 57, 21, 2], [3, 3, 23, 5644, 1, 50, 2, 57, 18, 18], [13, 9, 17, 3, 5298, 0, 141, 22, 14, 205], [4, 3, 7, 573, 5, 4749, 46, 18, 87, 47], [36, 10, 3, 1, 3, 49, 5714, 0, 42, 0], [0, 16, 42, 124, 64, 1, 0, 5762, 8, 80], [36, 26, 44, 121, 31, 41, 50, 31, 5139, 176], [17, 8, 14, 114, 84, 3, 9, 139, 46, 5379]]"
KNN,9000,1.5805,93.263,"[[5458, 2, 1, 20, 5, 2, 34, 2, 36, 0], [2, 6035, 170, 124, 59, 4, 47, 77, 70, 67], [14, 10, 5587, 177, 1, 1, 14, 60, 21, 3], [4, 5, 23, 5642, 2, 43, 2, 61, 16, 21], [14, 8, 19, 3, 5322, 0, 139, 21, 13, 183], [4, 4, 7, 647, 6, 4652, 51, 14, 95, 59], [34, 11, 3, 1, 7, 51, 5707, 0, 44, 0], [0, 22, 37, 122, 67, 1, 0, 5742, 10, 96], [34, 27, 45, 90, 26, 25, 58, 31, 5178, 181], [15, 13, 12, 112, 95, 2, 9, 139, 44, 5372]]"
KNN,8000,1.3673,92.9288,"[[5438, 2, 2, 21, 5, 3, 45, 3, 41, 0], [0, 5997, 178, 128, 58, 4, 54, 78, 80, 78], [14, 11, 5537, 218, 2, 1, 15, 68, 20, 2], [4, 5, 22, 5639, 1, 37, 2, 65, 22, 22], [16, 10, 21, 5, 5317, 0, 139, 20, 15, 179], [5, 4, 10, 618, 9, 4638, 53, 16, 123, 63], [26, 11, 4, 1, 6, 58, 5708, 0, 44, 0], [0, 18, 35, 126, 61, 1, 0, 5744, 12, 100], [43, 27, 47, 92, 34, 23, 59, 32, 5152, 186], [15, 13, 10, 111, 128, 1, 10, 148, 48, 5329]]"
LinDisc,10000,0.183,92.7855,"[[5358, 10, 11, 15, 19, 0, 47, 17, 80, 3], [0, 6027, 222, 85, 9, 22, 38, 199, 31, 22], [22, 41, 5605, 12, 1, 0, 4, 175, 27, 1], [1, 12, 29, 5470, 1, 19, 1, 247, 23, 16], [20, 71, 42, 0, 5208, 0, 86, 5, 29, 261], [9, 11, 6, 314, 4, 5015, 50, 24, 67, 39], [77, 49, 37, 15, 56, 36, 5460, 0, 125, 3], [0, 58, 47, 6, 58, 1, 0, 5882, 22, 23], [80, 59, 38, 5, 51, 29, 54, 57, 4961, 361], [34, 31, 9, 91, 69, 7, 16, 98, 29, 5429]]"
LinDisc,20000,0.2353,92.7855,"[[5358, 10, 11, 15, 19, 0, 47, 17, 80, 3], [0, 6027, 222, 85, 9, 22, 38, 199, 31, 22], [22, 41, 5605, 12, 1, 0, 4, 175, 27, 1], [1, 12, 29, 5470, 1, 19, 1, 247, 23, 16], [20, 71, 42, 0, 5208, 0, 86, 5, 29, 261], [9, 11, 6, 314, 4, 5015, 50, 24, 67, 39], [77, 49, 37, 15, 56, 36, 5460, 0, 125, 3], [0, 58, 47, 6, 58, 1, 0, 5882, 22, 23], [80, 59, 38, 5, 51, 29, 54, 57, 4961, 361], [34, 31, 9, 91, 69, 7, 16, 98, 29, 5429]]"
LinDisc,19000,0.2393,92.6423,"[[5355, 10, 11, 16, 20, 0, 51, 17, 78, 2], [0, 6010, 216, 87, 8, 22, 39, 216, 31, 26], [20, 39, 5602, 12, 1, 0, 6, 180, 27, 1], [1, 13, 29, 5456, 1, 18, 1, 259, 22, 19], [25, 81, 41, 0, 5184, 0, 87, 7, 30, 267], [9, 10, 6, 322, 6, 4999, 53, 24, 67, 43], [82, 48, 38, 20, 64, 36, 5442, 0, 125, 3], [0, 59, 48, 4, 55, 1, 0, 5881, 26, 23], [82, 55, 39, 4, 53, 25, 57, 55, 4965, 360], [34, 31, 9, 90, 62, 7, 17, 96, 30, 5437]]"
LinDisc,11000,0.2115,92.6065,"[[5367, 10, 11, 17, 21, 0, 48, 17, 66, 3], [0, 6002, 234, 88, 9, 29, 40, 201, 28, 24], [22, 42, 5601, 12, 1, 0, 4, 179, 27, 0], [1, 13, 27, 5447, 1, 19, 2, 273, 21, 15], [21, 80, 46, 0, 5203, 0, 82, 6, 25, 259], [9, 12, 7, 321, 5, 5005, 50, 26, 65, 39], [78, 47, 37, 19, 58, 38, 5451, 0, 127, 3], [0, 69, 43, 4, 54, 1, 0, 5880, 22, 24], [81, 62, 39, 4, 50, 28, 58, 60, 4926, 387], [34, 32, 9, 96, 65, 7, 16, 99, 27, 5428]]"
LinDisc,18000,0.2369,92.5059,"[[5344, 11, 11, 15, 20, 0, 55, 17, 84, 3], [0, 5994, 216, 93, 9, 29, 39, 218, 30, 27], [21, 39, 5588, 12, 1, 0, 8, 190, 28, 1], [1, 14, 30, 5444, 1, 18, 2, 270, 20, 19], [20, 83, 46, 0, 5185, 0, 87, 7, 28, 266], [8, 10, 8, 317, 6, 4999, 55, 27, 66, 43], [81, 47, 37, 23, 68, 35, 5442, 0, 123, 2], [0, 60, 49, 4, 51, 1, 0, 5883, 25, 24], [80, 58, 39, 5, 54, 29, 60, 56, 4935, 379], [34, 31, 9, 82, 68, 7, 18, 96, 31, 5437]]"
KNN,7000,1.2657,92.4786,"[[5428, 3, 1, 22, 8, 3, 47, 4, 43, 1], [0, 5939, 156, 130, 54, 8, 79, 84, 112, 93], [12, 9, 5463, 278, 4, 2, 20, 69, 29, 2], [4, 3, 22, 5617, 4, 35, 2, 86, 27, 19], [9, 6, 25, 2, 5328, 0, 151, 27, 23, 151], [6, 4, 8, 617, 15, 4622, 56, 18, 144, 49], [35, 11, 2, 0, 11, 65, 5673, 0, 61, 0], [0, 19, 33, 112, 58, 1, 0, 5776, 13, 85], [43, 30, 48, 115, 36, 17, 58, 42, 5150, 156], [14, 13, 8, 140, 162, 1, 10, 156, 70, 5239]]"
LinDisc,12000,0.1991,92.4547,"[[5358, 8, 12, 15, 22, 0, 52, 17, 74, 2], [0, 5991, 225, 94, 9, 31, 42, 209, 29, 25], [21, 39, 5594, 12, 1, 0, 5, 190, 25, 1], [1, 14, 30, 5422, 1, 19, 2, 293, 23, 14], [25, 92, 44, 0, 5174, 0, 83, 6, 30, 268], [9, 12, 7, 312, 4, 5013, 54, 26, 65, 37], [79, 46, 36, 19, 60, 41, 5452, 0, 122, 3], [0, 67, 45, 4, 51, 1, 0, 5882, 22, 25], [83, 61, 37, 4, 51, 32, 63, 58, 4913, 393], [34, 34, 9, 98, 66, 7, 17, 98, 28, 5422]]"
